Prediction,Actual,diff
27.8,27.9,-0.1
28.1,28.5,-0.4
29.0,28.6,0.4
28.7,28.8,-0.1
28.6,28.6,0.0
28.6,28.9,-0.3
28.9,28.8,0.1
29.0,28.3,0.7
28.1,26.9,1.2
26.4,27.0,-0.6
27.2,27.2,0.0
27.6,27.6,0.0
27.5,27.2,0.3
27.1,27.6,-0.5
27.9,27.3,0.6
27.3,27.2,0.1
27.3,26.3,1.0
26.3,26.6,-0.3
26.7,26.5,0.2
26.5,26.3,0.2
26.2,26.8,-0.6
26.9,27.3,-0.4
27.2,27.1,0.1
27.0,26.3,0.7
26.2,26.2,0.0
26.4,26.3,0.1
26.0,26.4,-0.4
26.4,26.6,-0.2
26.7,26.8,-0.1
27.0,26.9,0.1
26.8,27.1,-0.3
27.3,26.9,0.4
27.0,27.3,-0.3
27.5,27.6,-0.1
27.7,27.7,0.0
27.8,27.8,0.0
28.0,27.1,0.9
27.0,26.8,0.2
26.7,25.9,0.8
25.6,24.9,0.7
24.8,25.5,-0.7
25.5,24.7,0.8
24.3,24.1,0.2
23.7,20.3,3.4
19.4,19.0,0.4
18.7,18.2,0.5
17.8,17.3,0.5
16.7,17.9,-1.2
18.1,17.0,1.1
16.4,16.1,0.3
15.8,16.2,-0.4
16.6,18.2,-1.6
19.1,19.1,0.0
19.3,19.6,-0.3
20.1,19.9,0.2
20.2,20.6,-0.4
20.8,21.4,-0.6
21.7,21.7,0.0
22.5,22.0,0.5
22.2,22.2,0.0
22.4,22.3,0.1
22.8,22.2,0.6
22.0,22.3,-0.3
